fitness,type,enemy,gen,algo
-3.5630279682457564,mean_fitness,1,1,neat
12.266658723102253,max_fitness,1,2,neat
-2.269149397014202,mean_fitness,1,2,neat
21.194865031083513,max_fitness,1,3,neat
1.3679197323570844,mean_fitness,1,3,neat
30.706695175275506,max_fitness,1,4,neat
4.923692840192802,mean_fitness,1,4,neat
66.29621752534379,max_fitness,1,5,neat
12.080521128341108,mean_fitness,1,5,neat
75.24425778641309,max_fitness,1,6,neat
19.182504788485122,mean_fitness,1,6,neat
75.24425778641309,max_fitness,1,7,neat
32.42492632200877,mean_fitness,1,7,neat
75.24425778641309,max_fitness,1,8,neat
24.92549750851736,mean_fitness,1,8,neat
75.24425778641309,max_fitness,1,9,neat
17.882479335265486,mean_fitness,1,9,neat
75.24425778641309,max_fitness,1,10,neat
22.723965073985248,mean_fitness,1,10,neat
75.24425778641309,max_fitness,1,11,neat
26.158565017069506,mean_fitness,1,11,neat
75.24425778641309,max_fitness,1,12,neat
30.309439992647366,mean_fitness,1,12,neat
75.24425778641309,max_fitness,1,13,neat
33.36319958384151,mean_fitness,1,13,neat
75.24425778641309,max_fitness,1,14,neat
25.344112374118765,mean_fitness,1,14,neat
75.24425778641309,max_fitness,1,15,neat
19.71852557711015,mean_fitness,1,15,neat
3.752975927839514,max_fitness,1,1,neat
-4.94940027836407,mean_fitness,1,1,neat
57.16226955283406,max_fitness,1,2,neat
-0.641672910738068,mean_fitness,1,2,neat
57.282972298593776,max_fitness,1,3,neat
15.100497372125782,mean_fitness,1,3,neat
57.282972298593776,max_fitness,1,4,neat
14.663700958247118,mean_fitness,1,4,neat
94.02326625757942,max_fitness,1,5,neat
21.56680431997546,mean_fitness,1,5,neat
94.02326625757942,max_fitness,1,6,neat
12.572004512149036,mean_fitness,1,6,neat
94.02326625757942,max_fitness,1,7,neat
8.764746639690536,mean_fitness,1,7,neat
94.02326625757942,max_fitness,1,8,neat
19.405836434088084,mean_fitness,1,8,neat
94.02326625757942,max_fitness,1,9,neat
15.986545918695718,mean_fitness,1,9,neat
94.02326625757942,max_fitness,1,10,neat
15.113509691179956,mean_fitness,1,10,neat
